X,Y,OBJECTID,vrsta,naziv,lokacija,broj_stalaka,broj_bicikala,godina_postavljanja,MJESNI_ODBOR,GRADSKA_CETVRT
16.00869491,45.7880642470001,119,stalci,"Gradska ljekarna, Zdeslava Turića 1",Ulica Zdeslava Turića,3,6,2016,Savica Šanci,PEŠČENICA - ŽITNJAK
15.998018357,45.8144745550001,120,stalci,Antuna Nemičića 1,Ulica Antuna Nemičića,5,10,2016,"""Eugen Kvaternik""",MAKSIMIR
16.111052553,45.8269962370001,121,stalci,Bjelovarska/Ninska,Bjelovarska/Ninska,5,10,2016,Centar,SESVETE
15.97331917,45.8155422560001,122,stalci,Ćirilometodska ulica,Ulica sv. Ćirila i Metoda,5,10,2014,Gornji grad,GORNJI GRAD - MEDVEŠČAK
15.9488763910001,45.79767027,123,stalci,Park Stara Trešnjevka 2,Park Stara Trešnjevka,6,12,2016,Stara Trešnjevka,TREŠNJEVKA - SJEVER
15.9761479150001,45.814865094,124,stalci,Tkalčićeva 19,Tkalčićeva ulica,7,14,2016,"""August Cesarec""",GORNJI GRAD - MEDVEŠČAK
15.9700639710001,45.777563452,125,stalci,Avenija Dubrovnik 15a,Avenija Dubrovnik,8,16,2016,Kajzerica,NOVI ZAGREB - ZAPAD
16.06553108,45.827618757,126,stalci,"Gradska ljekarna, Aleja lipa 2a",Aleja Lipa,3,6,2016,Novi Retkovec,DONJA DUBRAVA
15.9494174600001,45.7977613150001,127,stalci,Park Stara Trešnjevka 2,Park Stara Trešnjevka,5,10,2017,Stara Trešnjevka,TREŠNJEVKA - SJEVER
15.9638901910001,45.814406929,128,stalci,Radnički dol 3,Ulica Ivana Kukuljevića,5,10,2015,"""Ivan Kukuljević - Sakcinski""",GORNJI GRAD - MEDVEŠČAK
16.1097217380001,45.8252943460001,129,stalci,Ninska - željeznička stanica Sesvete,Ninska ulica,7,14,2017,Centar,SESVETE
15.9886124,45.813597793,130,stalci,Vlaška 70,Obala Trnjanskih branitelja,4,8,2016,"""Nadbiskup Antun Bauer""",DONJI GRAD
16.0158066180001,45.797481438,131,stalci,MUP Heinzlova,Ulica Vjekoslava Heinzela,8,16,2018,Sigečica,TRNJE
15.9617648560001,45.7900497090001,132,stalci,Prisavlje,Prisavlje,3,6,2017,Veslačko naselje,TRNJE
15.9687810200001,45.8306203400001,133,stalci,Kraljevec,Kraljevec,4,8,2015,Kraljevec,GORNJI GRAD - MEDVEŠČAK
15.98378301,45.83605514,134,stalci,Mirogoj,Aleja Hermanna Bollea,4,8,2015,Gupčeva zvijezda,GORNJI GRAD - MEDVEŠČAK
16.020034056,45.8058527370001,135,stalci,Zapoljska 1,Zapoljska 1,6,12,2019,Volovčica,PEŠČENICA - ŽITNJAK
16.00326433,45.8098528990001,136,stalci,Heinzelova 47,Heinzelova 47,2,4,2019,Peščenica,PEŠČENICA - ŽITNJAK
16.0122252,45.80001307,137,stalci,Nastavni Zavod za hitnu medicinu Grada Zagreba,Radnička cesta,20,40,2019,Sigečica,TRNJE
15.9601145990001,45.7971809910001,138,stalci,Ministarstvo hrvatskih branitelja,Ministarstvo hrvatskih branitelja,11,22,2019,"""Antun Mihanović""",TREŠNJEVKA - SJEVER
15.955928676,45.796938352,139,stalci,Osnovna škola Julija Klovića,Osnovna škola Julija Klovića,10,20,2019,"""Antun Mihanović""",TREŠNJEVKA - SJEVER
15.9446595580001,45.804212105,140,stalci,Selska ulica 83,Selska ulica - Elektrostrojarska obrtnička škola,3,6,2019,"""Nikola Tesla""",TREŠNJEVKA - SJEVER
15.9447755190001,45.804299889,141,stalci,Selska ulica 83,Selska ulica - Elektrostrojarska obrtnička škola,7,14,2019,"""Nikola Tesla""",TREŠNJEVKA - SJEVER
15.9880884400001,45.8104524350001,142,stalci,Dukljaninova,Trg žrtava fašizma,3,6,2014,"""Hrvatski narodni vladari""",DONJI GRAD
15.9580684040001,45.7872170580001,143,stalci,Obala dr. Savke Dabčević Kučar,Obala dr. Savke Dabčević Kučar / Boćarski dom,7,14,2017,Veslačko naselje,TRNJE
15.9484699120001,45.797123109,144,stalci,Zvonigradska,Park Stara Trešnjevka,4,8,2017,Stara Trešnjevka,TREŠNJEVKA - SJEVER
15.998930849,45.7699102970001,145,stalci,"Osnovna škola ""Gustav Krklec""",Ulica Božidara Magovca,10,20,2017,Travno,NOVI ZAGREB - ISTOK
15.9441506650001,45.783676561,146,stalci,Jarunska ulica,Jarunska ulica,10,20,2020,Horvati - Srednjaci,TREŠNJEVKA - JUG
15.9443959600001,45.783622774,147,stalci,Jarunska ulica,Jarunska ulica,5,10,2020,Horvati - Srednjaci,TREŠNJEVKA - JUG
15.945085313,45.8010091780001,148,stalci,Sportska gimnazija,Sportska gimnazija,13,26,2019,"""Nikola Tesla""",TREŠNJEVKA - SJEVER
15.9383314630001,45.797349975,149,stalci,Ozaljska ulica kod k.br. 150,Ozaljska kod ulica k.br. 150,6,12,2017,Pongračevo,TREŠNJEVKA - SJEVER
